Daily Calorie Target,Protein,Calories,Fat,Breakfast Suggestion,Lunch Suggestion,Dinner Suggestion,Snack Suggestion,Disease,Price_RM,Breakfast_Price_RM,Lunch_Price_RM,Dinner_Price_RM,Snack_Price_RM
2379,178,2371,79,Scrambled eggs with whole wheat toast,Quinoa salad with chickpeas and vegetables,Lentil and vegetable curry,Apple with almond butter,Weight Gain,12.94,3.235,3.235,3.235,3.235
3638,272,3629,121,Tofu scramble with veggies,Grilled chicken salad with mixed greens,Lentil and vegetable curry,Greek yogurt with fruit,Weight Gain,13.06,3.265,3.265,3.265,3.265
2817,211,2805,93,Scrambled eggs with whole wheat toast,Grilled chicken salad with mixed greens,Pasta with marinara sauce and veggies,Trail mix,Weight Gain,9.95,2.4875,2.4875,2.4875,2.4875
2059,154,2048,68,Oatmeal with berries and nuts,Quinoa salad with chickpeas and vegetables,Vegetable stir-fry with brown rice,Apple with almond butter,Weight Gain,14.87,3.7175,3.7175,3.7175,3.7175
1805,135,1800,60,Tofu scramble with veggies,Black bean burger on a whole wheat bun,Turkey chili with brown rice,Banana with peanut butter,Weight Gain,3.51,0.8775,0.8775,0.8775,0.8775
2005,150,1994,66,Oatmeal with berries and nuts,Black bean burger on a whole wheat bun,Turkey chili with brown rice,Banana with peanut butter,Weight Gain,6.53,1.6325,1.6325,1.6325,1.6325
3113,233,3103,103,Smoothie with protein powder,Chicken and vegetable stir-fry,Turkey chili with brown rice,Apple with almond butter,Weight Gain,12.07,3.0175,3.0175,3.0175,3.0175
1717,128,1709,57,Tofu scramble with veggies,Chicken and vegetable stir-fry,Vegetable stir-fry with brown rice,Apple with almond butter,Weight Gain,5.06,1.265,1.265,1.265,1.265
2960,222,2954,98,Tofu scramble with veggies,Lentil soup with whole wheat bread,Turkey chili with brown rice,Trail mix,Weight Gain,8.81,2.2025,2.2025,2.2025,2.2025
2113,158,2106,70,Oatmeal with berries and nuts,Quinoa salad with chickpeas and vegetables,Vegetable stir-fry with brown rice,Trail mix,Weight Gain,3.94,0.985,0.985,0.985,0.985
3332,249,3327,111,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Apple with almond butter,Weight Gain,9.89,2.4725,2.4725,2.4725,2.4725
2000,150,1994,66,Greek yogurt with granola and fruit,Grilled chicken salad with mixed greens,Pasta with marinara sauce and veggies,Greek yogurt with fruit,Weight Gain,10.06,2.515,2.515,2.515,2.515
2392,179,2383,79,Scrambled eggs with whole wheat toast,Black bean burger on a whole wheat bun,Salmon with roasted vegetables,Banana with peanut butter,Weight Gain,3.15,0.7875,0.7875,0.7875,0.7875
1639,122,1626,54,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Turkey chili with brown rice,Trail mix,Weight Gain,13.79,3.4475,3.4475,3.4475,3.4475
2933,219,2921,97,Scrambled eggs with whole wheat toast,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Apple with almond butter,Weight Gain,14.41,3.6025,3.6025,3.6025,3.6025
3103,232,3095,103,Tofu scramble with veggies,Lentil soup with whole wheat bread,Vegetable stir-fry with brown rice,Banana with peanut butter,Weight Gain,9.32,2.33,2.33,2.33,2.33
3008,225,3000,100,Tofu scramble with veggies,Lentil soup with whole wheat bread,Lentil and vegetable curry,Banana with peanut butter,Weight Gain,10.95,2.7375,2.7375,2.7375,2.7375
1885,141,1874,62,Smoothie with protein powder,Quinoa salad with chickpeas and vegetables,Turkey chili with brown rice,Apple with almond butter,Weight Gain,3.06,0.765,0.765,0.765,0.765
2907,218,2896,96,Scrambled eggs with whole wheat toast,Grilled chicken salad with mixed greens,Lentil and vegetable curry,Fruit and nut mix,Weight Gain,3.35,0.8375,0.8375,0.8375,0.8375
2851,213,2847,95,Greek yogurt with granola and fruit,Black bean burger on a whole wheat bun,Pasta with marinara sauce and veggies,Banana with peanut butter,Weight Gain,12.4,3.1,3.1,3.1,3.1
2824,211,2818,94,Smoothie with protein powder,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Trail mix,Weight Gain,8.45,2.1125,2.1125,2.1125,2.1125
3164,237,3157,105,Scrambled eggs with whole wheat toast,Lentil soup with whole wheat bread,Lentil and vegetable curry,Fruit and nut mix,Weight Gain,5.66,1.415,1.415,1.415,1.415
2721,204,2714,90,Greek yogurt with granola and fruit,Lentil soup with whole wheat bread,Lentil and vegetable curry,Trail mix,Weight Gain,5.2,1.3,1.3,1.3,1.3
2608,195,2594,86,Tofu scramble with veggies,Quinoa salad with chickpeas and vegetables,Vegetable stir-fry with brown rice,Greek yogurt with fruit,Weight Gain,5.1,1.275,1.275,1.275,1.275
1435,107,1423,47,Greek yogurt with granola and fruit,Quinoa salad with chickpeas and vegetables,Pasta with marinara sauce and veggies,Apple with almond butter,"Diabetes, Acne, Weight Gain, Hypertension, Heart Disease",6.74,1.685,1.685,1.685,1.685
3414,256,3405,113,Tofu scramble with veggies,Chicken and vegetable stir-fry,Lentil and vegetable curry,Apple with almond butter,Weight Gain,4.54,1.135,1.135,1.135,1.135
2919,218,2909,97,Tofu scramble with veggies,Chicken and vegetable stir-fry,Vegetable stir-fry with brown rice,Banana with peanut butter,Weight Gain,14.47,3.6175,3.6175,3.6175,3.6175
2264,169,2255,75,Greek yogurt with granola and fruit,Lentil soup with whole wheat bread,Turkey chili with brown rice,Greek yogurt with fruit,Weight Gain,11.88,2.97,2.97,2.97,2.97
2813,210,2801,93,Smoothie with protein powder,Quinoa salad with chickpeas and vegetables,Lentil and vegetable curry,Greek yogurt with fruit,Weight Gain,13,3.25,3.25,3.25,3.25
2787,209,2776,92,Tofu scramble with veggies,Black bean burger on a whole wheat bun,Pasta with marinara sauce and veggies,Trail mix,Weight Gain,4.1,1.025,1.025,1.025,1.025
1911,143,1903,63,Oatmeal with berries and nuts,Quinoa salad with chickpeas and vegetables,Vegetable stir-fry with brown rice,Fruit and nut mix,Weight Gain,6.16,1.54,1.54,1.54,1.54
2650,198,2644,88,Oatmeal with berries and nuts,Quinoa salad with chickpeas and vegetables,Salmon with roasted vegetables,Trail mix,Weight Gain,14,3.5,3.5,3.5,3.5
2067,155,2056,68,Scrambled eggs with whole wheat toast,Black bean burger on a whole wheat bun,Lentil and vegetable curry,Banana with peanut butter,Weight Gain,7.73,1.9325,1.9325,1.9325,1.9325
1515,113,1506,50,Tofu scramble with veggies,Grilled chicken salad with mixed greens,Turkey chili with brown rice,Apple with almond butter,Weight Gain,6.16,1.54,1.54,1.54,1.54
1667,125,1659,55,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Apple with almond butter,Weight Gain,10.56,2.64,2.64,2.64,2.64
1813,135,1804,60,Tofu scramble with veggies,Chicken and vegetable stir-fry,Lentil and vegetable curry,Banana with peanut butter,Weight Gain,5.38,1.345,1.345,1.345,1.345
2127,159,2114,70,Smoothie with protein powder,Black bean burger on a whole wheat bun,Vegetable stir-fry with brown rice,Apple with almond butter,Weight Gain,6.9,1.725,1.725,1.725,1.725
1972,147,1961,65,Oatmeal with berries and nuts,Lentil soup with whole wheat bread,Pasta with marinara sauce and veggies,Greek yogurt with fruit,Weight Gain,10.86,2.715,2.715,2.715,2.715
2651,198,2644,88,Smoothie with protein powder,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Fruit and nut mix,Weight Gain,12.08,3.02,3.02,3.02,3.02
1250,93,1241,41,Scrambled eggs with whole wheat toast,Quinoa salad with chickpeas and vegetables,Turkey chili with brown rice,Trail mix,"Diabetes, Acne, Weight Gain, Hypertension, Heart Disease",10.28,2.57,2.57,2.57,2.57
2014,151,2011,67,Smoothie with protein powder,Grilled chicken salad with mixed greens,Turkey chili with brown rice,Apple with almond butter,Weight Gain,4.56,1.14,1.14,1.14,1.14
1449,108,1440,48,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Vegetable stir-fry with brown rice,Fruit and nut mix,"Diabetes, Acne, Weight Gain, Hypertension, Heart Disease",5.72,1.43,1.43,1.43,1.43
2030,152,2023,67,Tofu scramble with veggies,Grilled chicken salad with mixed greens,Turkey chili with brown rice,Greek yogurt with fruit,Weight Gain,3,0.75,0.75,0.75,0.75
1837,137,1829,61,Tofu scramble with veggies,Lentil soup with whole wheat bread,Pasta with marinara sauce and veggies,Trail mix,Weight Gain,13.75,3.4375,3.4375,3.4375,3.4375
2838,212,2826,94,Scrambled eggs with whole wheat toast,Chicken and vegetable stir-fry,Vegetable stir-fry with brown rice,Apple with almond butter,Weight Gain,9.97,2.4925,2.4925,2.4925,2.4925
3102,232,3095,103,Tofu scramble with veggies,Black bean burger on a whole wheat bun,Pasta with marinara sauce and veggies,Apple with almond butter,Weight Gain,12.76,3.19,3.19,3.19,3.19
2327,174,2317,77,Oatmeal with berries and nuts,Lentil soup with whole wheat bread,Pasta with marinara sauce and veggies,Fruit and nut mix,Weight Gain,6.01,1.5025,1.5025,1.5025,1.5025
2051,153,2044,68,Greek yogurt with granola and fruit,Quinoa salad with chickpeas and vegetables,Salmon with roasted vegetables,Greek yogurt with fruit,Weight Gain,11.4,2.85,2.85,2.85,2.85
3502,262,3492,116,Tofu scramble with veggies,Quinoa salad with chickpeas and vegetables,Pasta with marinara sauce and veggies,Fruit and nut mix,Weight Gain,6.37,1.5925,1.5925,1.5925,1.5925
2030,152,2023,67,Scrambled eggs with whole wheat toast,Quinoa salad with chickpeas and vegetables,Vegetable stir-fry with brown rice,Greek yogurt with fruit,Weight Gain,14.31,3.5775,3.5775,3.5775,3.5775
1770,132,1767,59,Smoothie with protein powder,Quinoa salad with chickpeas and vegetables,Lentil and vegetable curry,Greek yogurt with fruit,Weight Gain,11.83,2.9575,2.9575,2.9575,2.9575
3012,225,3004,100,Scrambled eggs with whole wheat toast,Chicken and vegetable stir-fry,Lentil and vegetable curry,Apple with almond butter,Weight Gain,8.66,2.165,2.165,2.165,2.165
2122,159,2114,70,Greek yogurt with granola and fruit,Black bean burger on a whole wheat bun,Turkey chili with brown rice,Apple with almond butter,Weight Gain,8.36,2.09,2.09,2.09,2.09
2253,168,2247,75,Greek yogurt with granola and fruit,Quinoa salad with chickpeas and vegetables,Pasta with marinara sauce and veggies,Greek yogurt with fruit,Weight Gain,8.02,2.005,2.005,2.005,2.005
3068,230,3062,102,Scrambled eggs with whole wheat toast,Chicken and vegetable stir-fry,Vegetable stir-fry with brown rice,Fruit and nut mix,Weight Gain,10.67,2.6675,2.6675,2.6675,2.6675
1861,139,1858,62,Smoothie with protein powder,Chicken and vegetable stir-fry,Vegetable stir-fry with brown rice,Trail mix,Weight Gain,3.41,0.8525,0.8525,0.8525,0.8525
2303,172,2292,76,Smoothie with protein powder,Grilled chicken salad with mixed greens,Lentil and vegetable curry,Fruit and nut mix,Weight Gain,8.72,2.18,2.18,2.18,2.18
2413,180,2404,80,Scrambled eggs with whole wheat toast,Chicken and vegetable stir-fry,Turkey chili with brown rice,Trail mix,Weight Gain,12.72,3.18,3.18,3.18,3.18
3114,233,3103,103,Scrambled eggs with whole wheat toast,Chicken and vegetable stir-fry,Vegetable stir-fry with brown rice,Banana with peanut butter,Weight Gain,10.72,2.68,2.68,2.68,2.68
3167,237,3157,105,Smoothie with protein powder,Quinoa salad with chickpeas and vegetables,Pasta with marinara sauce and veggies,Apple with almond butter,Weight Gain,6.98,1.745,1.745,1.745,1.745
1528,114,1514,50,Tofu scramble with veggies,Lentil soup with whole wheat bread,Lentil and vegetable curry,Fruit and nut mix,Weight Gain,12.7,3.175,3.175,3.175,3.175
2664,199,2652,88,Scrambled eggs with whole wheat toast,Chicken and vegetable stir-fry,Vegetable stir-fry with brown rice,Greek yogurt with fruit,Weight Gain,3.35,0.8375,0.8375,0.8375,0.8375
1200,90,1200,40,Smoothie with protein powder,Chicken and vegetable stir-fry,Pasta with marinara sauce and veggies,Fruit and nut mix,"Diabetes, Acne, Hypertension, Heart Disease",3.22,0.805,0.805,0.805,0.805
2583,193,2578,86,Oatmeal with berries and nuts,Lentil soup with whole wheat bread,Salmon with roasted vegetables,Fruit and nut mix,Weight Gain,9.68,2.42,2.42,2.42,2.42
2058,154,2048,68,Greek yogurt with granola and fruit,Black bean burger on a whole wheat bun,Lentil and vegetable curry,Banana with peanut butter,Weight Gain,8.26,2.065,2.065,2.065,2.065
1940,145,1932,64,Tofu scramble with veggies,Quinoa salad with chickpeas and vegetables,Salmon with roasted vegetables,Fruit and nut mix,Weight Gain,10.13,2.5325,2.5325,2.5325,2.5325
1308,98,1299,43,Smoothie with protein powder,Chicken and vegetable stir-fry,Lentil and vegetable curry,Apple with almond butter,"Diabetes, Acne, Weight Gain, Hypertension, Heart Disease",5.05,1.2625,1.2625,1.2625,1.2625
2195,164,2189,73,Scrambled eggs with whole wheat toast,Lentil soup with whole wheat bread,Turkey chili with brown rice,Apple with almond butter,Weight Gain,11.78,2.945,2.945,2.945,2.945
2506,187,2495,83,Oatmeal with berries and nuts,Black bean burger on a whole wheat bun,Lentil and vegetable curry,Trail mix,Weight Gain,8.66,2.165,2.165,2.165,2.165
1873,140,1866,62,Scrambled eggs with whole wheat toast,Quinoa salad with chickpeas and vegetables,Pasta with marinara sauce and veggies,Fruit and nut mix,Weight Gain,8.73,2.1825,2.1825,2.1825,2.1825
2855,214,2851,95,Tofu scramble with veggies,Black bean burger on a whole wheat bun,Lentil and vegetable curry,Trail mix,Weight Gain,6.81,1.7025,1.7025,1.7025,1.7025
2537,190,2528,84,Scrambled eggs with whole wheat toast,Quinoa salad with chickpeas and vegetables,Vegetable stir-fry with brown rice,Trail mix,Weight Gain,11.66,2.915,2.915,2.915,2.915
3389,254,3376,112,Scrambled eggs with whole wheat toast,Black bean burger on a whole wheat bun,Pasta with marinara sauce and veggies,Greek yogurt with fruit,Weight Gain,11.73,2.9325,2.9325,2.9325,2.9325
1645,123,1634,54,Oatmeal with berries and nuts,Chicken and vegetable stir-fry,Salmon with roasted vegetables,Trail mix,Weight Gain,8.19,2.0475,2.0475,2.0475,2.0475
3370,252,3364,112,Smoothie with protein powder,Black bean burger on a whole wheat bun,Turkey chili with brown rice,Banana with peanut butter,Weight Gain,7.55,1.8875,1.8875,1.8875,1.8875
1499,112,1485,49,Oatmeal with berries and nuts,Black bean burger on a whole wheat bun,Salmon with roasted vegetables,Apple with almond butter,"Diabetes, Acne, Weight Gain, Hypertension, Heart Disease",10.05,2.5125,2.5125,2.5125,2.5125
1914,143,1903,63,Smoothie with protein powder,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Fruit and nut mix,Weight Gain,14.86,3.715,3.715,3.715,3.715
1200,90,1200,40,Smoothie with protein powder,Lentil soup with whole wheat bread,Salmon with roasted vegetables,Fruit and nut mix,"Diabetes, Acne, Hypertension, Heart Disease",13.94,3.485,3.485,3.485,3.485
2663,199,2652,88,Smoothie with protein powder,Black bean burger on a whole wheat bun,Vegetable stir-fry with brown rice,Fruit and nut mix,Weight Gain,14.66,3.665,3.665,3.665,3.665
1971,147,1961,65,Greek yogurt with granola and fruit,Grilled chicken salad with mixed greens,Vegetable stir-fry with brown rice,Fruit and nut mix,Weight Gain,10.73,2.6825,2.6825,2.6825,2.6825
1930,144,1924,64,Oatmeal with berries and nuts,Lentil soup with whole wheat bread,Lentil and vegetable curry,Trail mix,Weight Gain,7.01,1.7525,1.7525,1.7525,1.7525
2656,199,2648,88,Greek yogurt with granola and fruit,Chicken and vegetable stir-fry,Salmon with roasted vegetables,Banana with peanut butter,Weight Gain,10.51,2.6275,2.6275,2.6275,2.6275
3345,250,3335,111,Tofu scramble with veggies,Quinoa salad with chickpeas and vegetables,Lentil and vegetable curry,Apple with almond butter,Weight Gain,6.1,1.525,1.525,1.525,1.525
3090,231,3087,103,Smoothie with protein powder,Lentil soup with whole wheat bread,Pasta with marinara sauce and veggies,Apple with almond butter,Weight Gain,4.72,1.18,1.18,1.18,1.18
3218,241,3211,107,Tofu scramble with veggies,Grilled chicken salad with mixed greens,Vegetable stir-fry with brown rice,Greek yogurt with fruit,Weight Gain,3.34,0.835,0.835,0.835,0.835
1435,107,1423,47,Tofu scramble with veggies,Grilled chicken salad with mixed greens,Pasta with marinara sauce and veggies,Fruit and nut mix,"Diabetes, Acne, Weight Gain, Hypertension, Heart Disease",5.53,1.3825,1.3825,1.3825,1.3825
2569,192,2557,85,Greek yogurt with granola and fruit,Quinoa salad with chickpeas and vegetables,Lentil and vegetable curry,Greek yogurt with fruit,Weight Gain,11.73,2.9325,2.9325,2.9325,2.9325
2619,196,2611,87,Scrambled eggs with whole wheat toast,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Apple with almond butter,Weight Gain,6.94,1.735,1.735,1.735,1.735
2083,156,2077,69,Tofu scramble with veggies,Lentil soup with whole wheat bread,Salmon with roasted vegetables,Greek yogurt with fruit,Weight Gain,12.73,3.1825,3.1825,3.1825,3.1825
2320,174,2317,77,Scrambled eggs with whole wheat toast,Lentil soup with whole wheat bread,Lentil and vegetable curry,Greek yogurt with fruit,Weight Gain,5.28,1.32,1.32,1.32,1.32
2145,160,2135,71,Oatmeal with berries and nuts,Black bean burger on a whole wheat bun,Vegetable stir-fry with brown rice,Banana with peanut butter,Weight Gain,14.93,3.7325,3.7325,3.7325,3.7325
2135,160,2131,71,Scrambled eggs with whole wheat toast,Black bean burger on a whole wheat bun,Vegetable stir-fry with brown rice,Greek yogurt with fruit,Weight Gain,11.17,2.7925,2.7925,2.7925,2.7925
1219,91,1208,40,Tofu scramble with veggies,Quinoa salad with chickpeas and vegetables,Turkey chili with brown rice,Trail mix,"Diabetes, Acne, Weight Gain, Hypertension, Heart Disease",10.16,2.54,2.54,2.54,2.54
1812,135,1804,60,Smoothie with protein powder,Black bean burger on a whole wheat bun,Salmon with roasted vegetables,Apple with almond butter,Weight Gain,4.87,1.2175,1.2175,1.2175,1.2175
2231,167,2226,74,Oatmeal with berries and nuts,Chicken and vegetable stir-fry,Vegetable stir-fry with brown rice,Fruit and nut mix,Weight Gain,5.56,1.39,1.39,1.39,1.39
2526,189,2520,84,Greek yogurt with granola and fruit,Grilled chicken salad with mixed greens,Lentil and vegetable curry,Apple with almond butter,Weight Gain,7.18,1.795,1.795,1.795,1.795
3421,256,3418,114,Greek yogurt with granola and fruit,Quinoa salad with chickpeas and vegetables,Salmon with roasted vegetables,Trail mix,Weight Gain,14.87,3.7175,3.7175,3.7175,3.7175
1416,106,1411,47,Tofu scramble with veggies,Lentil soup with whole wheat bread,Salmon with roasted vegetables,Trail mix,"Diabetes, Acne, Weight Gain, Hypertension, Heart Disease",10.61,2.6525,2.6525,2.6525,2.6525
2457,184,2445,81,Scrambled eggs with whole wheat toast,Chicken and vegetable stir-fry,Lentil and vegetable curry,Trail mix,Weight Gain,6.1,1.525,1.525,1.525,1.525
2550,191,2549,85,Oatmeal with berries and nuts,Black bean burger on a whole wheat bun,Vegetable stir-fry with brown rice,Greek yogurt with fruit,Weight Gain,11.76,2.94,2.94,2.94,2.94
2084,156,2077,69,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Turkey chili with brown rice,Apple with almond butter,Weight Gain,3.57,0.8925,0.8925,0.8925,0.8925
2179,163,2168,72,Smoothie with protein powder,Lentil soup with whole wheat bread,Turkey chili with brown rice,Fruit and nut mix,Weight Gain,14.52,3.63,3.63,3.63,3.63
3607,270,3600,120,Oatmeal with berries and nuts,Quinoa salad with chickpeas and vegetables,Salmon with roasted vegetables,Greek yogurt with fruit,Weight Gain,5.78,1.445,1.445,1.445,1.445
1947,146,1936,64,Oatmeal with berries and nuts,Lentil soup with whole wheat bread,Vegetable stir-fry with brown rice,Banana with peanut butter,Weight Gain,13.61,3.4025,3.4025,3.4025,3.4025
1683,126,1680,56,Tofu scramble with veggies,Quinoa salad with chickpeas and vegetables,Vegetable stir-fry with brown rice,Apple with almond butter,Weight Gain,4.47,1.1175,1.1175,1.1175,1.1175
2722,204,2714,90,Oatmeal with berries and nuts,Quinoa salad with chickpeas and vegetables,Salmon with roasted vegetables,Trail mix,Weight Gain,8.24,2.06,2.06,2.06,2.06
1200,90,1200,40,Smoothie with protein powder,Lentil soup with whole wheat bread,Salmon with roasted vegetables,Banana with peanut butter,"Diabetes, Acne, Hypertension, Heart Disease",8.57,2.1425,2.1425,2.1425,2.1425
1992,149,1986,66,Tofu scramble with veggies,Black bean burger on a whole wheat bun,Turkey chili with brown rice,Greek yogurt with fruit,Weight Gain,13.02,3.255,3.255,3.255,3.255
2492,186,2487,83,Oatmeal with berries and nuts,Chicken and vegetable stir-fry,Salmon with roasted vegetables,Greek yogurt with fruit,Weight Gain,5.32,1.33,1.33,1.33,1.33
2166,162,2160,72,Oatmeal with berries and nuts,Lentil soup with whole wheat bread,Vegetable stir-fry with brown rice,Fruit and nut mix,Weight Gain,6.34,1.585,1.585,1.585,1.585
3034,227,3029,101,Smoothie with protein powder,Grilled chicken salad with mixed greens,Turkey chili with brown rice,Banana with peanut butter,Weight Gain,12.54,3.135,3.135,3.135,3.135
1536,115,1531,51,Tofu scramble with veggies,Chicken and vegetable stir-fry,Lentil and vegetable curry,Trail mix,Weight Gain,9.64,2.41,2.41,2.41,2.41
1725,129,1717,57,Scrambled eggs with whole wheat toast,Black bean burger on a whole wheat bun,Salmon with roasted vegetables,Fruit and nut mix,Weight Gain,9.95,2.4875,2.4875,2.4875,2.4875
1876,140,1866,62,Smoothie with protein powder,Lentil soup with whole wheat bread,Salmon with roasted vegetables,Apple with almond butter,Weight Gain,3.82,0.955,0.955,0.955,0.955
2782,208,2772,92,Greek yogurt with granola and fruit,Chicken and vegetable stir-fry,Lentil and vegetable curry,Banana with peanut butter,Weight Gain,7.05,1.7625,1.7625,1.7625,1.7625
2815,211,2805,93,Tofu scramble with veggies,Quinoa salad with chickpeas and vegetables,Pasta with marinara sauce and veggies,Greek yogurt with fruit,Weight Gain,12.43,3.1075,3.1075,3.1075,3.1075
3267,245,3256,108,Tofu scramble with veggies,Grilled chicken salad with mixed greens,Turkey chili with brown rice,Greek yogurt with fruit,Weight Gain,9.89,2.4725,2.4725,2.4725,2.4725
2647,198,2640,88,Tofu scramble with veggies,Lentil soup with whole wheat bread,Turkey chili with brown rice,Trail mix,Weight Gain,5.17,1.2925,1.2925,1.2925,1.2925
2551,191,2549,85,Scrambled eggs with whole wheat toast,Black bean burger on a whole wheat bun,Salmon with roasted vegetables,Trail mix,Weight Gain,13.72,3.43,3.43,3.43,3.43
1200,90,1200,40,Oatmeal with berries and nuts,Quinoa salad with chickpeas and vegetables,Lentil and vegetable curry,Trail mix,"Diabetes, Acne, Hypertension, Heart Disease",8.53,2.1325,2.1325,2.1325,2.1325
1951,146,1949,65,Smoothie with protein powder,Black bean burger on a whole wheat bun,Vegetable stir-fry with brown rice,Trail mix,Weight Gain,12.62,3.155,3.155,3.155,3.155
1908,143,1899,63,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Lentil and vegetable curry,Fruit and nut mix,Weight Gain,6,1.5,1.5,1.5,1.5
2376,178,2371,79,Scrambled eggs with whole wheat toast,Lentil soup with whole wheat bread,Lentil and vegetable curry,Trail mix,Weight Gain,14.95,3.7375,3.7375,3.7375,3.7375
2109,158,2102,70,Greek yogurt with granola and fruit,Chicken and vegetable stir-fry,Vegetable stir-fry with brown rice,Trail mix,Weight Gain,11.24,2.81,2.81,2.81,2.81
1273,95,1266,42,Scrambled eggs with whole wheat toast,Black bean burger on a whole wheat bun,Lentil and vegetable curry,Apple with almond butter,"Diabetes, Acne, Weight Gain, Hypertension, Heart Disease",8.27,2.0675,2.0675,2.0675,2.0675
1738,130,1725,57,Greek yogurt with granola and fruit,Black bean burger on a whole wheat bun,Turkey chili with brown rice,Banana with peanut butter,Weight Gain,6.51,1.6275,1.6275,1.6275,1.6275
3452,258,3447,115,Scrambled eggs with whole wheat toast,Lentil soup with whole wheat bread,Lentil and vegetable curry,Greek yogurt with fruit,Weight Gain,3.51,0.8775,0.8775,0.8775,0.8775
2067,155,2056,68,Tofu scramble with veggies,Grilled chicken salad with mixed greens,Lentil and vegetable curry,Greek yogurt with fruit,Weight Gain,6.66,1.665,1.665,1.665,1.665
1200,90,1200,40,Greek yogurt with granola and fruit,Quinoa salad with chickpeas and vegetables,Turkey chili with brown rice,Fruit and nut mix,"Diabetes, Acne, Hypertension, Heart Disease",5.13,1.2825,1.2825,1.2825,1.2825
3857,289,3848,128,Oatmeal with berries and nuts,Lentil soup with whole wheat bread,Turkey chili with brown rice,Greek yogurt with fruit,Weight Gain,9.89,2.4725,2.4725,2.4725,2.4725
1464,109,1452,48,Oatmeal with berries and nuts,Lentil soup with whole wheat bread,Vegetable stir-fry with brown rice,Greek yogurt with fruit,"Diabetes, Acne, Weight Gain, Hypertension, Heart Disease",12.06,3.015,3.015,3.015,3.015
2441,183,2437,81,Oatmeal with berries and nuts,Chicken and vegetable stir-fry,Vegetable stir-fry with brown rice,Greek yogurt with fruit,Weight Gain,9.2,2.3,2.3,2.3,2.3
3264,244,3252,108,Oatmeal with berries and nuts,Lentil soup with whole wheat bread,Turkey chili with brown rice,Trail mix,Weight Gain,11.16,2.79,2.79,2.79,2.79
2484,186,2474,82,Tofu scramble with veggies,Quinoa salad with chickpeas and vegetables,Vegetable stir-fry with brown rice,Apple with almond butter,Weight Gain,7.4,1.85,1.85,1.85,1.85
3156,236,3149,105,Oatmeal with berries and nuts,Quinoa salad with chickpeas and vegetables,Pasta with marinara sauce and veggies,Fruit and nut mix,Weight Gain,3.14,0.785,0.785,0.785,0.785
2553,191,2549,85,Tofu scramble with veggies,Chicken and vegetable stir-fry,Salmon with roasted vegetables,Fruit and nut mix,Weight Gain,9.22,2.305,2.305,2.305,2.305
2932,219,2921,97,Tofu scramble with veggies,Chicken and vegetable stir-fry,Salmon with roasted vegetables,Greek yogurt with fruit,Weight Gain,14.55,3.6375,3.6375,3.6375,3.6375
3076,230,3066,102,Scrambled eggs with whole wheat toast,Quinoa salad with chickpeas and vegetables,Salmon with roasted vegetables,Fruit and nut mix,Weight Gain,6.29,1.5725,1.5725,1.5725,1.5725
2534,190,2528,84,Scrambled eggs with whole wheat toast,Quinoa salad with chickpeas and vegetables,Vegetable stir-fry with brown rice,Trail mix,Weight Gain,13.74,3.435,3.435,3.435,3.435
3240,243,3240,108,Greek yogurt with granola and fruit,Chicken and vegetable stir-fry,Vegetable stir-fry with brown rice,Apple with almond butter,Weight Gain,13.56,3.39,3.39,3.39,3.39
1806,135,1800,60,Smoothie with protein powder,Grilled chicken salad with mixed greens,Lentil and vegetable curry,Greek yogurt with fruit,Weight Gain,6.8,1.7,1.7,1.7,1.7
3203,240,3194,106,Greek yogurt with granola and fruit,Lentil soup with whole wheat bread,Salmon with roasted vegetables,Apple with almond butter,Weight Gain,14.68,3.67,3.67,3.67,3.67
2458,184,2445,81,Smoothie with protein powder,Chicken and vegetable stir-fry,Salmon with roasted vegetables,Fruit and nut mix,Weight Gain,7.98,1.995,1.995,1.995,1.995
2218,166,2205,73,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Apple with almond butter,Weight Gain,13.46,3.365,3.365,3.365,3.365
2086,156,2077,69,Greek yogurt with granola and fruit,Black bean burger on a whole wheat bun,Salmon with roasted vegetables,Banana with peanut butter,Weight Gain,11.25,2.8125,2.8125,2.8125,2.8125
2732,204,2727,91,Scrambled eggs with whole wheat toast,Quinoa salad with chickpeas and vegetables,Turkey chili with brown rice,Trail mix,Weight Gain,14.45,3.6125,3.6125,3.6125,3.6125
2278,170,2263,75,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Banana with peanut butter,Weight Gain,7.14,1.785,1.785,1.785,1.785
